Title,Author,Year,Month,Review
LEADERSHIP,Doris Kearns Goodwin,2019.0,1.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html
DARE TO LEAD,Brené Brown,2019.0,1.0,https://www.amazon.com/Dare-Lead-Brave-Conversations-Hearts/dp/0399592520?tag=NYTBS-20
BAD BLOOD,John Carreyrou,2019.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html
ATOMIC HABITS,James Clear,2019.0,1.0,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299?tag=NYTBS-20
PRINCIPLES,Ray Dalio,2019.0,1.0,https://www.amazon.com/Principles-Life-Work-Ray-Dalio/dp/1501124021?tag=NYTBS-20
EXTREME OWNERSHIP,Jocko Willink and Leif Babin,2019.0,1.0,http://www.amazon.com/Extreme-Ownership-U-S-Navy-SEALs-ebook/dp/B00VE4Y0Z2?tag=NYTBS-20
SHOE DOG,Phil Knight,2019.0,1.0,http://www.amazon.com/Shoe-Dog-Memoir-Creator-Nike-ebook/dp/B0176M1A44?tag=NYTBS-20
THE MAGNOLIA STORY,Chip Gaines and Joanna Gaines with Mark Dagostino,2019.0,1.0,https://www.amazon.com/Magnolia-Story-Bonus-Content-ebook/dp/B01CH2EW20?tag=NYTBS-20
"THINKING, FAST AND SLOW",Daniel Kahneman,2019.0,1.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html
GRIT,Angela Duckworth,2019.0,1.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html
MAID,Stephanie Land,2019.0,2.0,https://www.nytimes.com/2019/01/31/books/review/stephanie-land-maid.html
BEST SELF,Mike Bayer,2019.0,2.0,https://www.amazon.com/Best-Self-You-Only-Better/dp/0062911732?tag=NYTBS-20
THE BULLET JOURNAL METHOD,Ryder Carroll,2019.0,2.0,https://www.amazon.com/Bullet-Journal-Method-Present-Design/dp/0525533338?tag=NYTBS-20
FROM THE GROUND UP,Howard Schultz with Joanne Gordon,2019.0,3.0,https://www.amazon.com/Ground-Up-Journey-Reimagine-Promise/dp/0525509445?tag=NYTBS-20
ZUCKED,Roger McNamee,2019.0,3.0,https://www.nytimes.com/2019/01/29/books/review/roger-mcnamee-zucked.html
THE POWER OF HABIT,Charles Duhigg,2019.0,4.0,http://www.amazon.com/The-Power-Habit-What-Business/dp/081298160X?tag=NYTBS-20
YOU ARE A BADASS AT MAKING MONEY,Jen Sincero,2019.0,4.0,https://www.amazon.com/You-Are-Badass-Making-Money/dp/0735222975?tag=NYTBS-20
WOLFPACK,Ab,2019.0,5.0,https://www.amazon.com/WOLFPACK-Together-Unleash-Power-Change/dp/1250217709?tag=NYTBS-20
TRILLION DOLLAR COACH,"Eric Schmidt, Jonathan Rosenberg and Alan Eagle",2019.0,5.0,https://www.amazon.com/Trillion-Dollar-Coach-Leadership-Playbook/dp/0062839268?tag=NYTBS-20
"I WILL TEACH YOU TO BE RICH, SECOND EDITION",Ramit Sethi,2019.0,6.0,https://www.amazon.com/Will-Teach-You-Rich-Second-ebook/dp/B07GNXPP4P?tag=NYTBS-20
THE LATTE FACTOR,David Bach and John David Mann,2019.0,6.0,https://www.amazon.com/Latte-Factor-Dont-Have-Rich/dp/1982120231?tag=NYTBS-20
RANGE,David Epstein,2019.0,7.0,https://www.nytimes.com/2019/05/28/books/review/david-epstein-range.html
OUTLIERS,Malcolm Gladwell,2019.0,7.0,https://www.nytimes.com/2008/11/18/books/18kaku.html
RADICAL CANDOR,Kim Scott,2019.0,8.0,https://www.amazon.com/Radical-Candor-Kick-Ass-Without-Humanity/dp/1250103509?tag=NYTBS-20
KOCHLAND,Christopher Leonard,2019.0,9.0,https://www.nytimes.com/2019/08/13/books/review-kochland-secret-history-koch-industries.html
DOPESICK,Beth Macy,2019.0,9.0,https://www.nytimes.com/2018/07/31/books/review/beth-macy-dopesick.html
THE RIDE OF A LIFETIME,Robert Iger,2019.0,10.0,https://www.amazon.com/Ride-Lifetime-Lessons-Learned-Company/dp/0399592091?tag=NYTBS-20
WHAT IT TAKES,Stephen A. Schwarzman,2019.0,10.0,https://www.amazon.com/What-Takes-Lessons-Pursuit-Excellence/dp/1501158147?tag=NYTBS-20
TOOLS AND WEAPONS,Brad Smith and Carol Ann Browne,2019.0,10.0,https://www.amazon.com/Tools-Weapons-Promise-Peril-Digital/dp/1984877712?tag=NYTBS-20
STILLNESS IS THE KEY,Ryan Holiday,2019.0,11.0,https://www.amazon.com/Stillness-Key-Ryan-Holiday/dp/0525538585?tag=NYTBS-20
TRAILBLAZER,Marc Benioff and Monica Langley,2019.0,11.0,https://www.amazon.com/Trailblazer-Business-Greatest-Platform-Change/dp/1984825194?tag=NYTBS-20
THE INFINITE GAME,Simon Sinek,2019.0,11.0,https://www.amazon.com/Infinite-Game-Simon-Sinek/dp/073521350X?tag=NYTBS-20
FAIR PLAY,Eve Rodsky,2019.0,11.0,https://www.amazon.com/Fair-Play-Game-Changing-Solution-When/dp/0525541934?tag=NYTBS-20
SHUT UP AND LISTEN!,Tilman Fertitta,2019.0,11.0,https://www.amazon.com/Shut-Up-Listen-Business-Succeed/dp/1400213738?tag=NYTBS-20
THE MAN WHO SOLVED THE MARKET,Gregory Zuckerman,2019.0,12.0,https://www.nytimes.com/2019/11/13/books/review/the-man-who-solved-the-market-gregory-zuckerman.html
